goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	ageCode	ageDesc	sexCode	sexDesc	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data	0.0	0.0	0.0	0.0	0.0	0.0										0.0	2008
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data						108.0	94.0	97.0	84.0	92.0	95.0					95.0	2013
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data												1.0	2.0	32.0	28.0	28.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data							15.0	7.0								7.0	2010
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data												7.0	8.0			8.0	2015
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data				86.0	101.0	78.0	91.0	34.0	29.0	53.0	56.0	54.0	48.0	70.0		70.0	2016
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data			30.0	63.0	79.0	186.0	422.0	263.0	150.0	303.0	374.0	375.0	243.0	414.0	97.0	97.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data	10.0	9.0	20.0	16.0	18.0	25.0	33.0	31.0	11.0	16.0	21.0	33.0	35.0	36.0	21.0	21.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					12.0	4.0	22.0	14.0		28.0	23.0	79.0	126.0	72.0		72.0	2016
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	044	Bahamas	029	Caribbean	Country	BHS	1	-78.05111663	24.69546597	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data												3.0				3.0	2014
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	048	Bahrain	145	Western Asia	Country	BHR	1	50.5490754	26.04407747	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					0.0	1.0	0.0	43.0	5.0	20.0	143.0	96.0	27.0	38.0	33.0	33.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	050	Bangladesh	034	Southern Asia	Country	BGD	1	89.17660788	22.86961622	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					114.0			310.0		126.0					733.0	733.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	051	Armenia	145	Western Asia	Country	ARM	1	44.93839317	40.29499741	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data				47.0	36.0	34.0	60.0	19.0	13.0	14.0	21.0	8.0	5.0	25.0	9.0	9.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	052	Barbados	029	Caribbean	Country	BRB	1	-59.5346489	13.13648273	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data											5.0					5.0	2013
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	056	Belgium	155	Western Europe	Country	BEL	1	4.660976456	50.64104975	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data			130.0	139.0	74.0	65.0	50.0			127.0	116.0	84.0	90.0	84.0		84.0	2016
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	060	Bermuda	021	Northern America	Country	BMU	0	-64.78155012	32.27881922	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	064	Bhutan	034	Southern Asia	Country	BTN	1	90.45098484	27.39598568	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	068	Bolivia (Plurinational State of)	005	South America	Country	BOL	1	-64.66224284	-16.71273412	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data			32.0	52.0	36.0	270.0	58.0	24.0		331.0	239.0	183.0	251.0	301.0	145.0	145.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	070	Bosnia and Herzegovina	039	Southern Europe	Country	BIH	1	17.78584332	44.16845548	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data			66.0	71.0	41.0	33.0	69.0	25.0	35.0	39.0		49.0	35.0	48.0		48.0	2016
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	072	Botswana	018	Southern Africa	Country	BWA	1	23.81380223	-22.18810073	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	074	Bouvet Island	005	South America	Country	BVT	0	3.410732868	-54.43295905	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	076	Brazil	005	South America	Country	BRA	1	-53.08432878	-10.77668561	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data													1228.0	1054.0		1054.0	2016
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	084	Belize	013	Central America	Country	BLZ	1	-88.70199554	17.19965901	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	086	British Indian Ocean Territory	014	Eastern Africa	Country	IOT	0	72.38715553	-7.299281071	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	090	Solomon Islands	054	Melanesia	Country	SLB	1	160.1584117	-9.622391719	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	092	British Virgin Islands	029	Caribbean	Country	VGB	0	-64.63294223	18.42256578	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	096	Brunei Darussalam	035	South-Eastern Asia	Country	BRN	1	114.6288563	4.49736984	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data									6.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	100	Bulgaria	151	Eastern Europe	Country	BGR	1	25.23763153	42.75731323	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					288.0	250.0	297.0	429.0	540.0	579.0	538.0	495.0	409.0	447.0	368.0	368.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	104	Myanmar	035	South-Eastern Asia	Country	MMR	1	96.51752295	21.19332882	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					271.0	303.0	302.0	381.0	256.0	261.0	256.0	309.0	643.0	307.0	72.0	72.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	108	Burundi	014	Eastern Africa	Country	BDI	1	29.89080992	-3.366387428	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data							129.0	10.0								10.0	2010
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	112	Belarus	151	Eastern Europe	Country	BLR	1	28.04940161	53.54193075	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data	350.0	400.0	625.0	1107.0	418.0	591.0	398.0	362.0	295.0	209.0	149.0	97.0	121.0	184.0	75.0	75.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	116	Cambodia	035	South-Eastern Asia	Country	KHM	1	104.922836	12.71163737	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	120	Cameroon	017	Middle Africa	Country	CMR	1	12.7419827	5.692387031	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data											11.0			67.0		67.0	2016
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	124	Canada	021	Northern America	Country	CAN	1	-101.6575058	57.72360191	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					9.0	8.0	40.0	47.0	115.0	55.0	63.0	142.0	237.0	231.0	37.0	37.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	132	Cabo Verde	011	Western Africa	Country	CPV	1	-23.63544151	15.07791834	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	136	Cayman Islands	029	Caribbean	Country	CYM	0	-81.16740559	19.32266656	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	140	Central African Republic	017	Middle Africa	Country	CAF	1	20.93559492	7.003720791	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	144	Sri Lanka	034	Southern Asia	Country	LKA	1	80.70489654	7.614693343	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data									56.0			29.0	30.0	23.0		23.0	2016
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	148	Chad	017	Middle Africa	Country	TCD	1	18.66618401	15.36279341	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	152	Chile	005	South America	Country	CHL	1	-71.23029019	-35.2652885	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data						147.0		17.0	131.0	7.0	79.0	7.0	7.0	13.0		13.0	2016
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	156	China	030	Eastern Asia	Country	CHN	1	104.1403375	32.30955217	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	162	Christmas Island	053	Australia and New Zealand	Country	CXR	0	105.6426067	-10.4882473	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	166	Cocos (Keeling) Islands	053	Australia and New Zealand	Country	CCK	0	96.82633757	-12.18600682	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	170	Colombia	005	South America	Country	COL	1	-73.07446751	3.888209046	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					78.0	53.0	53.0	53.0	23.0	35.0	60.0	72.0	38.0	76.0	52.0	52.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	174	Comoros	014	Eastern Africa	Country	COM	1	43.34234565	-11.66121732	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	175	Mayotte	014	Eastern Africa	Country	MYT	0	45.14015057	-12.82217691	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	178	Congo	011	Western Africa	Country	COG	1	15.22052612	-0.840544119	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data								16.0	57.0							57.0	2011
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	180	Democratic Republic of the Congo	017	Middle Africa	Country	COD	1	23.65496507	-2.877154732	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	184	Cook Islands	061	Polynesia	Country	COK	0	-159.7711391	-21.22696458	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	188	Costa Rica	013	Central America	Country	CRI	1	-84.19712782	9.970998683	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					3.0		10.0	83.0		22.0	29.0	5.0	3.0	5.0	60.0	60.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	191	Croatia	039	Southern Europe	Country	HRV	1	17.95874553	45.45172212	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					15.0	7.0	8.0	7.0	14.0	11.0		37.0	38.0	30.0	29.0	29.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	192	Cuba	029	Caribbean	Country	CUB	1	-79.54460144	22.10030366	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data										13.0	14.0	16.0	11.0	6.0		6.0	2016
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	196	Cyprus	145	Western Asia	Country	CYP	1	33.22285964	35.05659437	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					54.0	58.0	113.0	52.0	40.0			42.0	33.0	30.0	9.0	9.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	203	Czechia	151	Eastern Europe	Country	CZE	1	15.33151382	49.73913871	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					33.0	119.0	42.0	76.0	51.0	52.0	57.0	67.0	50.0	38.0	6.0	6.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	204	Benin	011	Western Africa	Country	BEN	1	2.339933594	9.65401646	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data	406.0	612.0	248.0	198.0						159.0					535.0	535.0	2017
